onset	duration	trial_type	value	sample
41.427	0.0	item	162	41427
42.33	0.0	item	162	42330
43.249	0.0	item	162	43249
44.202	0.0	item	162	44202
44.938	0.0	item	162	44938
45.723	0.0	item	162	45723
46.609	0.0	item	162	46609
47.328	0.0	item	162	47328
48.214	0.0	item	162	48214
48.799	0.0	item	162	48799
49.568	0.0	item	162	49568
50.237	0.0	item	162	50237
50.939	0.0	item	162	50939
51.691	0.0	item	162	51691
52.31	0.0	item	162	52310
52.995	0.0	item	162	52995
53.764	0.0	item	162	53764
54.399	0.0	item	162	54399
55.302	0.0	item	162	55302
56.205	0.0	item	162	56205
57.291	0.0	yes_probe	167	57291
59.949	0.0	item_post_probe	163	59949
60.652	0.0	item	162	60652
61.655	0.0	item	162	61655
62.273	0.0	item	162	62273
62.875	0.0	item	162	62875
63.778	0.0	item	162	63778
64.446	0.0	item	162	64446
65.098	0.0	item	162	65098
65.834	0.0	item	162	65834
66.737	0.0	item	162	66737
67.439	0.0	item	162	67439
68.141	0.0	item	162	68141
68.876	0.0	item	162	68876
69.712	0.0	item	162	69712
70.531	0.0	item	162	70531
71.417	0.0	item	162	71417
72.236	0.0	item	162	72236
72.989	0.0	item	162	72989
73.858	0.0	item	162	73858
74.677	0.0	item	162	74677
75.446	0.0	no_probe	166	75446
92.313	0.0	item_post_probe	163	92313
93.099	0.0	item	162	93099
93.718	0.0	item	162	93718
94.487	0.0	item	162	94487
95.272	0.0	item	162	95272
95.958	0.0	item	162	95958
96.727	0.0	no_probe	166	96727
107.91	0.0	item_post_probe	163	107910
108.729	0.0	item	162	108729
109.298	0.0	item	162	109298
110.067	0.0	item	162	110067
110.97	0.0	item	162	110970
111.956	0.0	item	162	111956
112.675	0.0	item	162	112675
113.36	0.0	item	162	113360
114.112	0.0	item	162	114112
114.881	0.0	item	162	114881
115.55	0.0	item	162	115550
116.536	0.0	item	162	116536
117.288	0.0	no_probe	166	117288
120.632	0.0	item_post_probe	163	120632
121.367	0.0	item	162	121367
122.086	0.0	item	162	122086
122.889	0.0	item	162	122889
123.557	0.0	item	162	123557
124.276	0.0	item	162	124276
124.962	0.0	item	162	124962
125.764	0.0	item	162	125764
126.483	0.0	item	162	126483
127.486	0.0	item	162	127486
128.104	0.0	item	162	128104
128.94	0.0	item	162	128940
129.626	0.0	item	162	129626
130.579	0.0	item	162	130579
131.347	0.0	item	162	131347
132.016	0.0	item	162	132016
132.902	0.0	item	162	132902
133.554	0.0	item	162	133554
134.256	0.0	item	162	134256
135.125	0.0	yes_probe	167	135125
137.466	0.0	item_post_probe	163	137466
138.268	0.0	item	162	138268
139.087	0.0	item	162	139087
139.656	0.0	item	162	139656
140.308	0.0	item	162	140308
141.16	0.0	item	162	141160
142.013	0.0	item	162	142013
142.748	0.0	item	162	142748
143.551	0.0	item	162	143551
144.236	0.0	item	162	144236
145.139	0.0	item	162	145139
145.925	0.0	item	162	145925
146.694	0.0	item	162	146694
147.58	0.0	item	162	147580
148.482	0.0	item	162	148482
149.335	0.0	item	162	149335
150.137	0.0	item	162	150137
150.923	0.0	item	162	150923
151.675	0.0	item	162	151675
152.377	0.0	yes_probe	167	152377
165.968	0.0	item_post_probe	163	165968
166.737	0.0	item	162	166737
167.556	0.0	item	162	167556
168.158	0.0	item	162	168158
168.944	0.0	item	162	168944
169.629	0.0	item	162	169629
170.398	0.0	item	162	170398
171.084	0.0	item	162	171084
171.769	0.0	no_probe	166	171769
174.126	0.0	item_post_probe	163	174126
174.945	0.0	item	162	174945
175.881	0.0	item	162	175881
176.818	0.0	item	162	176818
177.503	0.0	item	162	177503
178.188	0.0	item	162	178188
178.991	0.0	item	162	178991
179.643	0.0	item	162	179643
180.278	0.0	item	162	180278
180.997	0.0	item	162	180997
181.799	0.0	item	162	181799
182.451	0.0	item	162	182451
183.12	0.0	item	162	183120
183.956	0.0	item	162	183956
184.825	0.0	item	162	184825
185.611	0.0	item	162	185611
186.329	0.0	yes_probe	167	186329
189.472	0.0	item_post_probe	163	189472
190.308	0.0	item	162	190308
191.06	0.0	item	162	191060
191.746	0.0	item	162	191746
192.431	0.0	item	162	192431
193.217	0.0	item	162	193217
194.103	0.0	item	162	194103
194.889	0.0	item	162	194889
195.607	0.0	item	162	195607
196.343	0.0	item	162	196343
197.112	0.0	item	162	197112
197.697	0.0	item	162	197697
198.332	0.0	yes_probe	167	198332
202.027	0.0	item_post_probe	163	202027
202.846	0.0	no_probe	166	202846
205.236	0.0	item_post_probe	163	205236
206.056	0.0	item	162	206056
206.925	0.0	item	162	206925
207.577	0.0	item	162	207577
208.479	0.0	item	162	208479
209.232	0.0	item	162	209232
210.068	0.0	item	162	210068
210.97	0.0	item	162	210970
211.856	0.0	item	162	211856
212.659	0.0	item	162	212659
213.444	0.0	item	162	213444
214.163	0.0	item	162	214163
214.999	0.0	yes_probe	167	214999
216.621	0.0	item_post_probe	163	216621
217.222	0.0	item	162	217222
217.908	0.0	item	162	217908
218.56	0.0	item	162	218560
219.362	0.0	item	162	219362
220.114	0.0	item	162	220114
220.766	0.0	no_probe	166	220766
224.076	0.0	item_post_probe	163	224076
224.912	0.0	item	162	224912
225.949	0.0	item	162	225949
226.818	0.0	item	162	226818
227.654	0.0	item	162	227654
228.289	0.0	item	162	228289
229.292	0.0	item	162	229292
230.145	0.0	item	162	230145
230.914	0.0	item	162	230914
231.666	0.0	item	162	231666
232.502	0.0	no_probe	166	232502
233.689	0.0	item_post_probe	163	233689
234.424	0.0	item	162	234424
235.16	0.0	item	162	235160
235.945	0.0	item	162	235945
236.614	0.0	item	162	236614
237.483	0.0	item	162	237483
238.453	0.0	item	162	238453
239.506	0.0	no_probe	166	239506
241.278	0.0	item_post_probe	163	241278
242.047	0.0	item	162	242047
242.766	0.0	item	162	242766
243.568	0.0	item	162	243568
244.404	0.0	item	162	244404
245.29	0.0	item	162	245290
246.109	0.0	item	162	246109
246.895	0.0	item	162	246895
247.814	0.0	item	162	247814
248.684	0.0	item	162	248684
249.57	0.0	item	162	249570
250.489	0.0	item	162	250489
251.275	0.0	item	162	251275
251.927	0.0	item	162	251927
252.679	0.0	yes_probe	167	252679
254.234	0.0	item_post_probe	163	254234
254.919	0.0	item	162	254919
255.722	0.0	item	162	255722
256.574	0.0	item	162	256574
257.176	0.0	item	162	257176
258.112	0.0	item	162	258112
258.831	0.0	item	162	258831
259.617	0.0	item	162	259617
260.436	0.0	no_probe	166	260436
262.325	0.0	item_post_probe	163	262325
263.161	0.0	item	162	263161
263.93	0.0	item	162	263930
264.732	0.0	item	162	264732
265.651	0.0	item	162	265651
266.537	0.0	item	162	266537
267.273	0.0	item	162	267273
267.992	0.0	item	162	267992
268.811	0.0	item	162	268811
269.413	0.0	item	162	269413
270.198	0.0	item	162	270198
271.068	0.0	yes_probe	167	271068
275.314	0.0	item_post_probe	163	275314
276.484	0.0	item	162	276484
277.253	0.0	item	162	277253
277.938	0.0	item	162	277938
278.824	0.0	item	162	278824
279.627	0.0	item	162	279627
280.329	0.0	item	162	280329
281.148	0.0	item	162	281148
282.067	0.0	item	162	282067
282.803	0.0	item	162	282803
283.656	0.0	item	162	283656
284.324	0.0	item	162	284324
285.16	0.0	item	162	285160
285.879	0.0	item	162	285879
286.731	0.0	item	162	286731
287.4	0.0	item	162	287400
288.069	0.0	item	162	288069
288.855	0.0	item	162	288855
289.49	0.0	item	162	289490
290.359	0.0	no_probe	166	290359
292.231	0.0	item_post_probe	163	292231
292.917	0.0	item	162	292917
293.652	0.0	item	162	293652
294.655	0.0	item	162	294655
295.341	0.0	item	162	295341
296.043	0.0	item	162	296043
296.778	0.0	item	162	296778
297.38	0.0	item	162	297380
298.132	0.0	item	162	298132
298.952	0.0	item	162	298952
299.553	0.0	item	162	299553
300.172	0.0	item	162	300172
300.857	0.0	item	162	300857
301.576	0.0	item	162	301576
302.663	0.0	item	162	302663
303.348	0.0	item	162	303348
