onset	duration	trial_type	value	sample
46.163	0.0	item	162	46163
47.066	0.0	item	162	47066
47.985	0.0	item	162	47985
48.938	0.0	item	162	48938
49.674	0.0	item	162	49674
50.476	0.0	item	162	50476
51.362	0.0	item	162	51362
52.081	0.0	item	162	52081
52.967	0.0	item	162	52967
53.552	0.0	item	162	53552
54.321	0.0	item	162	54321
54.99	0.0	item	162	54990
55.692	0.0	item	162	55692
56.444	0.0	item	162	56444
57.063	0.0	item	162	57063
57.748	0.0	item	162	57748
58.517	0.0	item	162	58517
59.152	0.0	item	162	59152
60.055	0.0	item	162	60055
60.974	0.0	item	162	60974
62.061	0.0	yes_probe	167	62061
63.883	0.0	item_post_probe	163	63883
64.585	0.0	item	162	64585
65.588	0.0	item	162	65588
66.207	0.0	item	162	66207
66.809	0.0	item	162	66809
67.711	0.0	item	162	67711
68.38	0.0	item	162	68380
69.032	0.0	item	162	69032
69.768	0.0	item	162	69768
70.67	0.0	item	162	70670
71.372	0.0	item	162	71372
72.074	0.0	item	162	72074
72.81	0.0	item	162	72810
73.646	0.0	item	162	73646
74.465	0.0	item	162	74465
75.368	0.0	item	162	75368
76.187	0.0	item	162	76187
76.922	0.0	item	162	76922
77.792	0.0	item	162	77792
78.611	0.0	item	162	78611
79.396	0.0	no_probe	166	79396
82.004	0.0	item_post_probe	163	82004
82.773	0.0	item	162	82773
83.392	0.0	item	162	83392
84.161	0.0	item	162	84161
84.93	0.0	item	162	84930
85.615	0.0	item	162	85615
86.384	0.0	no_probe	166	86384
88.19	0.0	item_post_probe	163	88190
88.992	0.0	item	162	88992
89.56	0.0	item	162	89560
90.329	0.0	item	162	90329
91.215	0.0	item	162	91215
92.202	0.0	item	162	92202
92.92	0.0	item	162	92920
93.606	0.0	item	162	93606
94.358	0.0	item	162	94358
95.127	0.0	item	162	95127
95.779	0.0	item	162	95779
96.765	0.0	item	162	96765
97.501	0.0	no_probe	166	97501
98.905	0.0	item_post_probe	163	98905
99.641	0.0	item	162	99641
100.36	0.0	item	162	100360
101.162	0.0	item	162	101162
101.831	0.0	item	162	101831
102.533	0.0	item	162	102533
103.218	0.0	item	162	103218
104.021	0.0	item	162	104021
104.756	0.0	item	162	104756
105.759	0.0	item	162	105759
106.361	0.0	item	162	106361
107.197	0.0	item	162	107197
107.882	0.0	item	162	107882
108.835	0.0	item	162	108835
109.604	0.0	item	162	109604
110.273	0.0	item	162	110273
111.159	0.0	item	162	111159
111.811	0.0	item	162	111811
112.513	0.0	item	162	112513
113.382	0.0	yes_probe	167	113382
114.469	0.0	item_post_probe	163	114469
115.271	0.0	item	162	115271
116.09	0.0	item	162	116090
116.659	0.0	item	162	116659
117.327	0.0	item	162	117327
118.163	0.0	item	162	118163
119.016	0.0	item	162	119016
119.751	0.0	item	162	119751
120.554	0.0	item	162	120554
121.239	0.0	item	162	121239
122.142	0.0	item	162	122142
122.944	0.0	item	162	122944
123.713	0.0	item	162	123713
124.599	0.0	item	162	124599
125.502	0.0	item	162	125502
126.354	0.0	item	162	126354
127.14	0.0	item	162	127140
127.926	0.0	item	162	127926
128.695	0.0	item	162	128695
129.397	0.0	yes_probe	167	129397
131.219	0.0	item_post_probe	163	131219
131.988	0.0	item	162	131988
132.807	0.0	item	162	132807
133.409	0.0	item	162	133409
134.178	0.0	item	162	134178
134.863	0.0	item	162	134863
135.632	0.0	item	162	135632
