Subject	Trial	Event_Type	Code	Time	TTime	Uncertainty	Duration	ReqTime	ReqDur	Stim_Type	Pair_Index
016	1.0	Sound	dialogue	2707.0	2678.0	n/a	n/a	2500.0	n/a	other	0.0
016	2.0	Sound	phantom	11731.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	3.0	Sound	observe	20926.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	4.0	Sound	sect	30287.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	5.0	Sound	fest	37642.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	6.0	Sound	precinct	45499.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	7.0	Sound	cycle	54359.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	8.0	Sound	reside	61380.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	9.0	Sound	wide	70073.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	10.0	Sound	remedy	75924.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	11.0	Sound	male	83614.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	12.0	Sound	shear	90300.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	13.0	Sound	equity	97321.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	14.0	Sound	droop	104677.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	15.0	Sound	trim	110862.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	16.0	Sound	message	117716.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	17.0	Sound	run	125238.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	18.0	Sound	violin	131424.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	19.0	Sound	staunch	140283.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	20.0	Sound	organize	149478.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	21.0	Picture	probe_coordinate	160343.0	2675.0	2	13875	2500.0	next	other	0.0
016	21.0	Response	2	174072.0	16404.0	n/a	n/a	n/a	n/a	n/a	n/a
016	22.0	Sound	commute	176893.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	23.0	Sound	deny	183914.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	24.0	Sound	bore	193944.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	25.0	Sound	raw	200297.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	26.0	Sound	ferocious	206482.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	27.0	Sound	dictate	215676.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	28.0	Sound	imitate	222363.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	29.0	Sound	wander	228882.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	30.0	Sound	lumbar	236405.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	31.0	Sound	mug	245432.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	32.0	Sound	easel	252453.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	33.0	Sound	feud	259474.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	34.0	Sound	ceiling	266997.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	35.0	Sound	aroma	275355.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	36.0	Sound	explode	283379.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	37.0	Sound	challenge	292239.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	38.0	Sound	jam	300430.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	39.0	Sound	finger	307785.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	40.0	Sound	report	316478.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	41.0	Sound	foray	324669.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	42.0	Picture	probe_exterior	332526.0	2675.0	3	15713	2500.0	next	other	0.0
016	42.0	Response	2	348209.0	18358.0	n/a	n/a	n/a	n/a	n/a	n/a
016	43.0	Sound	stab	350915.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	44.0	Sound	rate	358604.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	45.0	Sound	convey	364790.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	46.0	Sound	vile	372479.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	47.0	Sound	node	380336.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	48.0	Sound	beverage	387190.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	49.0	Picture	probe_conceive	394879.0	2674.0	2	9863	2500.0	next	other	0.0
016	49.0	Response	1	404608.0	12403.0	n/a	n/a	n/a	n/a	n/a	n/a
016	50.0	Sound	seem	407417.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	51.0	Sound	knee	415609.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	52.0	Sound	escort	421292.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	53.0	Sound	expense	428815.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	54.0	Sound	inflict	437675.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	55.0	Sound	orchid	447705.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	56.0	Sound	knife	454893.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	57.0	Sound	tactic	461747.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	58.0	Sound	spur	469269.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	59.0	Sound	rapt	476959.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	60.0	Sound	consolidate	483646.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	61.0	Sound	rally	493509.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	62.0	Picture	probe_threat	500864.0	2675.0	2	9194	2500.0	next	other	0.0
016	62.0	Response	1	509896.0	11707.0	n/a	n/a	n/a	n/a	n/a	n/a
016	63.0	Sound	talent	512733.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	64.0	Sound	torrent	520088.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	65.0	Sound	bran	527277.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	66.0	Sound	plot	535301.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	67.0	Sound	punish	541987.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	68.0	Sound	gurgle	549008.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	69.0	Sound	somber	555695.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	70.0	Sound	grammar	563719.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	71.0	Sound	stash	570907.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	72.0	Sound	peril	580937.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	73.0	Sound	sigh	587123.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	74.0	Sound	botch	595481.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	75.0	Sound	electric	602335.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	76.0	Sound	snip	611863.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	77.0	Sound	initial	619553.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	78.0	Sound	cylinder	626240.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	79.0	Sound	troop	635100.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	80.0	Sound	share	641619.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	81.0	Sound	posture	648640.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	82.0	Picture	probe_position	657333.0	2675.0	2	9528	2500.0	next	other	0.0
016	82.0	Response	2	666784.0	12126.0	n/a	n/a	n/a	n/a	n/a	n/a
016	83.0	Sound	fog	669536.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	84.0	Sound	scene	677560.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	85.0	Sound	pulp	685752.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	86.0	Sound	connect	691435.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	87.0	Sound	venture	697955.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	88.0	Sound	salary	706480.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	89.0	Sound	swim	715006.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	90.0	Sound	carnival	722528.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	91.0	Sound	fray	730553.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	92.0	Sound	eliminate	737406.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	93.0	Sound	develop	746266.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	94.0	Sound	umpire	754123.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	95.0	Sound	disrupt	761813.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	96.0	Sound	rinse	770673.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	97.0	Sound	predicament	779700.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	98.0	Sound	scalpel	788225.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	99.0	Sound	reduce	796249.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	100.0	Sound	rocket	804273.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	101.0	Sound	coarse	811796.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	102.0	Picture	probe_rough	818817.0	2675.0	2	20060	2500.0	next	other	0.0
016	102.0	Response	2	838811.0	22669.0	n/a	n/a	n/a	n/a	n/a	n/a
016	103.0	Sound	severe	841552.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	104.0	Sound	exam	849242.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	105.0	Sound	dribble	857433.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	106.0	Sound	gown	863451.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	107.0	Sound	barren	871308.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	108.0	Sound	stamp	878162.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	109.0	Sound	crux	885851.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	110.0	Sound	mile	892705.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	111.0	Picture	probe_rhinoceros	899391.0	2674.0	3	12204	2500.0	next	other	0.0
016	111.0	Response	1	911510.0	14793.0	n/a	n/a	n/a	n/a	n/a	n/a
016	112.0	Sound	stink	914270.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	113.0	Sound	velocity	922461.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	114.0	Sound	abroad	931822.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	115.0	Sound	compete	941184.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	116.0	Sound	else	948038.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	117.0	Sound	adept	954892.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	118.0	Sound	eager	962916.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	119.0	Sound	relic	969268.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	120.0	Sound	pinch	975453.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	121.0	Sound	anvil	982641.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	122.0	Sound	come	990665.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	123.0	Sound	braid	997352.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	124.0	Sound	concern	1003872.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	125.0	Sound	catch	1012230.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	126.0	Sound	vector	1020923.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	127.0	Sound	chime	1028780.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	128.0	Picture	probe_bell	1035967.0	2674.0	3	8526	2500.0	next	other	0.0
016	128.0	Response	2	1044408.0	11115.0	n/a	n/a	n/a	n/a	n/a	n/a
016	129.0	Sound	autumn	1047168.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	130.0	Sound	elevate	1055526.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	131.0	Sound	file	1063049.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	132.0	Sound	desk	1069903.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	133.0	Sound	glaze	1076757.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	134.0	Sound	conserve	1084614.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	135.0	Sound	five	1093641.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	136.0	Sound	posse	1101498.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	137.0	Sound	indict	1108686.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	138.0	Sound	shrewd	1116041.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	139.0	Sound	metal	1123731.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	140.0	Sound	care	1129582.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	141.0	Picture	probe_aid	1135934.0	2675.0	2	8191	2500.0	next	other	0.0
016	141.0	Response	2	1144086.0	10827.0	n/a	n/a	n/a	n/a	n/a	n/a
016	142.0	Sound	proxy	1146800.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	143.0	Picture	probe_lug	1154991.0	2675.0	2	10531	2500.0	next	other	0.0
016	143.0	Response	1	1165376.0	13060.0	n/a	n/a	n/a	n/a	n/a	n/a
016	144.0	Sound	graduate	1168198.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	145.0	Sound	nominate	1176389.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	146.0	Sound	tame	1185081.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	147.0	Sound	census	1191601.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	148.0	Sound	baboon	1200795.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	149.0	Sound	analog	1208318.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	150.0	Sound	abstract	1216676.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	151.0	Sound	jubilee	1225703.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	152.0	Sound	hideous	1234730.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	153.0	Sound	oasis	1242921.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	154.0	Sound	settle	1250778.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	155.0	Sound	lilac	1257967.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	156.0	Picture	probe_lavender	1266324.0	2674.0	3	7523	2500.0	next	other	0.0
016	156.0	Response	2	1273764.0	10114.0	n/a	n/a	n/a	n/a	n/a	n/a
016	157.0	Sound	quote	1276522.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	158.0	Sound	parade	1282540.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	159.0	Sound	cower	1289394.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	160.0	Sound	cauldron	1296081.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	161.0	Sound	groove	1304105.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	162.0	Sound	brittle	1311460.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	163.0	Picture	probe_ambient	1317979.0	2674.0	2	7523	2500.0	next	other	0.0
016	163.0	Response	1	1325323.0	10018.0	n/a	n/a	n/a	n/a	n/a	n/a
016	164.0	Sound	roster	1328177.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	165.0	Sound	vast	1336368.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	166.0	Sound	succulent	1346733.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	167.0	Sound	sprain	1355592.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	168.0	Sound	nickel	1363784.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	169.0	Sound	instinct	1369969.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	170.0	Sound	mundane	1379999.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	171.0	Sound	quartet	1388525.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	172.0	Sound	grew	1396214.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	173.0	Sound	athlete	1403737.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	174.0	Picture	probe_hut	1412095.0	2675.0	2	7188	2500.0	next	other	0.0
016	174.0	Response	1	1419182.0	9762.0	n/a	n/a	n/a	n/a	n/a	n/a
016	175.0	Sound	trickle	1421958.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	176.0	Sound	lift	1429313.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	177.0	Sound	pulse	1436669.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	178.0	Sound	huddle	1444526.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	179.0	Sound	contain	1451212.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	180.0	Sound	orthodox	1459905.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	181.0	Sound	opportune	1469601.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	182.0	Picture	probe_concoct	1480132.0	2675.0	3	6519	2500.0	next	other	0.0
016	182.0	Response	1	1486611.0	9154.0	n/a	n/a	n/a	n/a	n/a	n/a
016	183.0	Sound	stub	1489327.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	184.0	Sound	direct	1497016.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
016	185.0	Sound	chest	1504205.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
016	186.0	Sound	progress	1512229.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
