Subject	Trial	Event_Type	Code	Time	TTime	Uncertainty	Duration	ReqTime	ReqDur	Stim_Type	Pair_Index
018	1.0	Sound	dialogue	2707.0	2678.0	n/a	n/a	2500.0	n/a	other	0.0
018	2.0	Sound	phantom	11731.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	3.0	Sound	observe	20926.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	4.0	Sound	sect	30454.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	5.0	Sound	fest	37810.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	6.0	Sound	precinct	45667.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
018	7.0	Sound	cycle	54527.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
018	8.0	Sound	reside	61715.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	9.0	Sound	wide	70575.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	10.0	Sound	remedy	76426.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
018	11.0	Sound	male	84115.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	12.0	Sound	shear	90802.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	13.0	Sound	equity	97823.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	14.0	Sound	droop	105346.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	15.0	Sound	trim	111531.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	16.0	Sound	message	118385.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	17.0	Sound	run	126075.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
018	18.0	Sound	violin	132427.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	19.0	Sound	staunch	141454.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	20.0	Sound	organize	150481.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	21.0	Picture	probe_coordinate	161347.0	2675.0	2	23905	2500.0	next	other	0.0
018	21.0	Response	2	185214.0	26542.0	n/a	n/a	n/a	n/a	n/a	n/a
018	22.0	Sound	commute	187927.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	23.0	Sound	deny	194948.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	24.0	Sound	bore	204978.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	25.0	Sound	raw	211163.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	26.0	Sound	ferocious	217181.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	27.0	Sound	dictate	226208.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	28.0	Sound	imitate	232895.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	29.0	Sound	wander	239415.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	30.0	Sound	lumbar	246770.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	31.0	Sound	mug	255797.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	32.0	Sound	easel	262818.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	33.0	Sound	feud	269839.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	34.0	Sound	ceiling	277195.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	35.0	Sound	aroma	285553.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	36.0	Sound	explode	293745.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
018	37.0	Sound	challenge	302604.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	38.0	Sound	jam	310796.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	39.0	Sound	finger	318318.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	40.0	Sound	report	327011.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	41.0	Sound	foray	335202.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	42.0	Picture	probe_exterior	342892.0	2675.0	2	165998	2500.0	next	other	0.0
018	42.0	Response	2	508720.0	168503.0	n/a	n/a	n/a	n/a	n/a	n/a
018	43.0	Response	2	509899.0	1009.0	n/a	n/a	n/a	n/a	n/a	n/a
018	43.0	Sound	stab	511565.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	44.0	Sound	rate	519422.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	45.0	Sound	convey	525607.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	46.0	Sound	vile	533297.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	47.0	Sound	node	541154.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	48.0	Sound	beverage	548008.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
018	49.0	Picture	probe_conceive	555697.0	2675.0	2	109161	2500.0	next	other	0.0
018	49.0	Response	2	664818.0	111796.0	n/a	n/a	n/a	n/a	n/a	n/a
018	50.0	Sound	seem	667533.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	51.0	Sound	knee	675724.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	52.0	Sound	escort	681408.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	53.0	Sound	expense	689098.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
018	54.0	Sound	inflict	698125.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	55.0	Sound	orchid	707988.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	56.0	Sound	knife	715176.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
018	57.0	Sound	tactic	722030.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
