onset	duration	trial_type	value	sample
40.814	0.0	item	162	40814
41.717	0.0	item	162	41717
42.636	0.0	item	162	42636
43.572	0.0	item	162	43572
44.308	0.0	item	162	44308
45.093	0.0	item	162	45093
45.979	0.0	item	162	45979
46.682	0.0	item	162	46682
47.551	0.0	item	162	47551
48.136	0.0	item	162	48136
48.905	0.0	item	162	48905
49.574	0.0	item	162	49574
50.276	0.0	item	162	50276
51.011	0.0	item	162	51011
51.63	0.0	item	162	51630
52.315	0.0	item	162	52315
53.067	0.0	item	162	53067
53.686	0.0	item	162	53686
54.572	0.0	item	162	54572
55.491	0.0	item	162	55491
56.578	0.0	yes_probe	167	56578
58.233	0.0	item_post_probe	163	58233
58.935	0.0	item	162	58935
59.938	0.0	item	162	59938
60.573	0.0	item	162	60573
61.192	0.0	item	162	61192
62.111	0.0	item	162	62111
62.78	0.0	item	162	62780
63.432	0.0	item	162	63432
64.184	0.0	item	162	64184
65.087	0.0	item	162	65087
65.789	0.0	item	162	65789
66.491	0.0	item	162	66491
67.243	0.0	item	162	67243
68.079	0.0	item	162	68079
68.882	0.0	item	162	68882
69.768	0.0	item	162	69768
70.587	0.0	item	162	70587
71.322	0.0	item	162	71322
72.192	0.0	item	162	72192
73.011	0.0	item	162	73011
73.796	0.0	no_probe	166	73796
75.635	0.0	item_post_probe	163	75635
76.404	0.0	item	162	76404
77.023	0.0	item	162	77023
77.792	0.0	item	162	77792
78.577	0.0	item	162	78577
79.263	0.0	item	162	79263
80.032	0.0	no_probe	166	80032
81.286	0.0	item_post_probe	163	81286
82.105	0.0	item	162	82105
82.673	0.0	item	162	82673
83.425	0.0	item	162	83425
84.311	0.0	item	162	84311
85.314	0.0	item	162	85314
86.033	0.0	item	162	86033
86.719	0.0	item	162	86719
87.471	0.0	item	162	87471
88.24	0.0	item	162	88240
88.909	0.0	item	162	88909
89.895	0.0	item	162	89895
90.63	0.0	no_probe	166	90630
91.817	0.0	item_post_probe	163	91817
92.553	0.0	item	162	92553
93.272	0.0	item	162	93272
94.074	0.0	item	162	94074
94.743	0.0	item	162	94743
95.445	0.0	item	162	95445
96.114	0.0	item	162	96114
96.916	0.0	item	162	96916
97.635	0.0	item	162	97635
98.638	0.0	item	162	98638
99.256	0.0	item	162	99256
100.092	0.0	item	162	100092
100.778	0.0	item	162	100778
101.73	0.0	item	162	101730
102.499	0.0	item	162	102499
103.168	0.0	item	162	103168
104.054	0.0	item	162	104054
104.706	0.0	item	162	104706
105.408	0.0	item	162	105408
106.277	0.0	yes_probe	167	106277
107.498	0.0	item_post_probe	163	107498
108.3	0.0	item	162	108300
109.119	0.0	item	162	109119
109.688	0.0	item	162	109688
110.34	0.0	item	162	110340
111.192	0.0	item	162	111192
112.045	0.0	item	162	112045
112.797	0.0	item	162	112797
113.599	0.0	item	162	113599
114.285	0.0	item	162	114285
115.171	0.0	item	162	115171
115.957	0.0	item	162	115957
116.726	0.0	item	162	116726
117.612	0.0	item	162	117612
118.514	0.0	item	162	118514
119.367	0.0	item	162	119367
120.169	0.0	item	162	120169
120.972	0.0	item	162	120972
121.724	0.0	item	162	121724
122.426	0.0	yes_probe	167	122426
124.699	0.0	item_post_probe	163	124699
125.468	0.0	item	162	125468
126.288	0.0	item	162	126288
126.889	0.0	item	162	126889
127.675	0.0	item	162	127675
128.361	0.0	item	162	128361
129.129	0.0	item	162	129129
129.815	0.0	item	162	129815
130.483	0.0	no_probe	166	130483
131.971	0.0	item_post_probe	163	131971
132.79	0.0	item	162	132790
133.727	0.0	item	162	133727
134.663	0.0	item	162	134663
135.348	0.0	item	162	135348
136.034	0.0	item	162	136034
136.836	0.0	item	162	136836
137.471	0.0	item	162	137471
138.09	0.0	item	162	138090
138.809	0.0	item	162	138809
139.611	0.0	item	162	139611
140.28	0.0	item	162	140280
140.932	0.0	item	162	140932
141.767	0.0	item	162	141767
142.637	0.0	item	162	142637
143.422	0.0	item	162	143422
144.141	0.0	yes_probe	167	144141
145.261	0.0	item_post_probe	163	145261
146.097	0.0	item	162	146097
146.849	0.0	item	162	146849
147.535	0.0	item	162	147535
148.22	0.0	item	162	148220
149.006	0.0	item	162	149006
149.909	0.0	item	162	149909
150.694	0.0	item	162	150694
151.413	0.0	item	162	151413
152.149	0.0	item	162	152149
152.918	0.0	item	162	152918
153.503	0.0	item	162	153503
154.138	0.0	yes_probe	167	154138
155.225	0.0	item_post_probe	163	155225
156.044	0.0	no_probe	166	156044
157.364	0.0	item_post_probe	163	157364
158.184	0.0	item	162	158184
159.053	0.0	item	162	159053
159.705	0.0	item	162	159705
160.624	0.0	item	162	160624
161.376	0.0	item	162	161376
162.212	0.0	item	162	162212
163.115	0.0	item	162	163115
164.018	0.0	item	162	164018
164.837	0.0	item	162	164837
165.623	0.0	item	162	165623
166.341	0.0	item	162	166341
167.177	0.0	yes_probe	167	167177
168.197	0.0	item_post_probe	163	168197
168.799	0.0	item	162	168799
169.484	0.0	item	162	169484
170.153	0.0	item	162	170153
170.955	0.0	item	162	170955
171.691	0.0	item	162	171691
172.343	0.0	no_probe	166	172343
173.362	0.0	item_post_probe	163	173362
174.182	0.0	item	162	174182
175.218	0.0	item	162	175218
176.104	0.0	item	162	176104
176.923	0.0	item	162	176923
177.542	0.0	item	162	177542
178.545	0.0	item	162	178545
179.397	0.0	item	162	179397
180.166	0.0	item	162	180166
180.919	0.0	item	162	180919
181.754	0.0	no_probe	166	181754
182.741	0.0	item_post_probe	163	182741
183.476	0.0	item	162	183476
184.212	0.0	item	162	184212
184.997	0.0	item	162	184997
185.666	0.0	item	162	185666
186.535	0.0	item	162	186535
187.505	0.0	item	162	187505
188.558	0.0	no_probe	166	188558
189.478	0.0	item_post_probe	163	189478
190.247	0.0	item	162	190247
190.965	0.0	item	162	190965
191.768	0.0	item	162	191768
192.604	0.0	item	162	192604
193.506	0.0	item	162	193506
194.326	0.0	item	162	194326
195.128	0.0	item	162	195128
196.031	0.0	item	162	196031
196.9	0.0	item	162	196900
197.786	0.0	item	162	197786
198.705	0.0	item	162	198705
199.491	0.0	item	162	199491
200.126	0.0	item	162	200126
200.895	0.0	yes_probe	167	200895
202.149	0.0	item_post_probe	163	202149
202.834	0.0	item	162	202834
203.654	0.0	item	162	203654
204.506	0.0	item	162	204506
205.125	0.0	item	162	205125
206.061	0.0	item	162	206061
206.78	0.0	item	162	206780
207.565	0.0	item	162	207565
208.384	0.0	no_probe	166	208384
209.454	0.0	item_post_probe	163	209454
210.307	0.0	item	162	210307
211.059	0.0	item	162	211059
211.862	0.0	item	162	211862
212.781	0.0	item	162	212781
213.667	0.0	item	162	213667
214.386	0.0	item	162	214386
215.105	0.0	item	162	215105
215.924	0.0	item	162	215924
216.526	0.0	item	162	216526
217.311	0.0	item	162	217311
218.164	0.0	yes_probe	167	218164
219.434	0.0	item_post_probe	163	219434
220.605	0.0	item	162	220605
221.374	0.0	item	162	221374
222.059	0.0	item	162	222059
222.945	0.0	item	162	222945
223.747	0.0	item	162	223747
224.433	0.0	item	162	224433
225.252	0.0	item	162	225252
226.171	0.0	item	162	226171
226.907	0.0	item	162	226907
227.743	0.0	item	162	227743
228.411	0.0	item	162	228411
229.247	0.0	item	162	229247
229.966	0.0	item	162	229966
230.802	0.0	item	162	230802
231.471	0.0	item	162	231471
232.139	0.0	item	162	232139
232.908	0.0	item	162	232908
233.527	0.0	item	162	233527
234.396	0.0	no_probe	166	234396
235.499	0.0	item_post_probe	163	235499
236.185	0.0	item	162	236185
236.92	0.0	item	162	236920
237.923	0.0	item	162	237923
238.592	0.0	item	162	238592
239.294	0.0	item	162	239294
240.03	0.0	item	162	240030
240.648	0.0	item	162	240648
241.4	0.0	item	162	241400
242.22	0.0	item	162	242220
242.805	0.0	item	162	242805
243.423	0.0	item	162	243423
244.109	0.0	item	162	244109
244.827	0.0	item	162	244827
245.914	0.0	item	162	245914
246.599	0.0	item	162	246599
247.368	0.0	item	162	247368
248.488	0.0	item	162	248488
249.04	0.0	item	162	249040
249.675	0.0	item	162	249675
250.394	0.0	yes_probe	167	250394
251.765	0.0	item_post_probe	163	251765
252.45	0.0	item	162	252450
253.186	0.0	item	162	253186
253.821	0.0	item	162	253821
254.557	0.0	item	162	254557
255.342	0.0	yes_probe	167	255342
256.379	0.0	item_post_probe	163	256379
257.064	0.0	item	162	257064
257.783	0.0	item	162	257783
258.619	0.0	item	162	258619
259.321	0.0	no_probe	166	259321
260.541	0.0	item_post_probe	163	260541
261.31	0.0	item	162	261310
261.962	0.0	item	162	261962
262.882	0.0	item	162	262882
263.751	0.0	item	162	263751
264.353	0.0	item	162	264353
265.473	0.0	item	162	265473
266.192	0.0	item	162	266192
267.044	0.0	item	162	267044
267.73	0.0	item	162	267730
268.582	0.0	item	162	268582
269.318	0.0	item	162	269318
270.237	0.0	item	162	270237
271.04	0.0	item	162	271040
271.775	0.0	no_probe	166	271775
272.711	0.0	item_post_probe	163	272711
273.447	0.0	item	162	273447
274.233	0.0	item	162	274233
274.901	0.0	item	162	274901
275.553	0.0	item	162	275553
276.539	0.0	item	162	276539
277.275	0.0	item	162	277275
278.094	0.0	item	162	278094
279.014	0.0	item	162	279014
279.649	0.0	item	162	279649
280.334	0.0	item	162	280334
281.153	0.0	item	162	281153
282.056	0.0	item	162	282056
282.792	0.0	item	162	282792
283.51	0.0	yes_probe	167	283510
284.597	0.0	item_post_probe	163	284597
285.299	0.0	item	162	285299
286.118	0.0	item	162	286118
286.921	0.0	yes_probe	167	286921
