ch,name,type,unit,min,Q1,median,Q3,max
61,MEG0513,grad,T/m,-0.00026002216458165744,-4.579925526418957e-12,-1.9912719680082423e-13,4.380798329618133e-12,0.0002722886806739357
62,MEG0521,mag,T,-3.7203452192235417e-06,-5.530166621911645e-13,3.8051605196639756e-14,6.113624568260121e-13,5.238455010416471e-06
63,MEG0522,grad,T/m,-0.0003733563937230891,-4.380798329618133e-12,0.0,4.380798329618133e-12,0.0002035880311211613
64,MEG0523,grad,T/m,-0.000422855480890874,-5.17730711682143e-12,-1.9912719680082423e-13,4.7790527232197816e-12,0.0002274157047937229
65,MEG0531,mag,T,-4.684503037232799e-06,-4.997444149158688e-13,9.132385247193541e-14,6.900024408990676e-13,4.670183439407784e-06
66,MEG0532,grad,T/m,-0.00014649616698898267,-4.7790527232197816e-12,-1.9912719680082423e-13,4.579925526418957e-12,0.00037014786576350687
67,MEG0533,grad,T/m,-0.00041805533303067955,-3.7834167392156604e-12,1.9912719680082423e-13,4.181671132817309e-12,0.00042272356131339264
68,MEG0541,mag,T,-2.0567006484554275e-06,-5.225753780338527e-13,8.117675775283148e-14,7.077598566574995e-13,4.6889258285770516e-06
69,MEG0542,grad,T/m,-0.0003777632442621191,-4.978179920020606e-12,0.0,5.17730711682143e-12,0.0001611045961388438
70,MEG0543,grad,T/m,-0.0004272845522329222,-3.982543936016485e-12,1.9912719680082423e-13,4.181671132817309e-12,0.00042668115680204914
71,MEG0611,mag,T,-5.220727957302212e-06,-4.490089413203491e-13,1.420593260674551e-13,7.81326293371003e-13,4.9731886937588835e-06
72,MEG0612,grad,T/m,-0.00025723969574354777,-3.7834167392156604e-12,0.0,3.7834167392156604e-12,0.0004184923108937343
73,MEG0613,grad,T/m,-0.0003118875210501019,-4.579925526418957e-12,-1.9912719680082423e-13,4.181671132817309e-12,0.0003585142782540408
74,MEG0621,mag,T,-3.984150996045318e-06,-3.9573669404505346e-13,1.725006102247669e-13,7.965469354496589e-13,5.189759899406426e-06
75,MEG0622,grad,T/m,-0.00041217088481519746,-4.7790527232197816e-12,0.0,4.579925526418957e-12,0.00024184608953787168
76,MEG0623,grad,T/m,-0.0004103803702983502,-4.181671132817309e-12,1.9912719680082423e-13,4.380798329618133e-12,0.0004034779529881068
77,MEG0631,mag,T,-4.5530204110438914e-06,-3.906631466855015e-13,1.9279479966297476e-13,8.422088616856266e-13,4.006936200839667e-06
78,MEG0632,grad,T/m,-0.00032948442747341333,-3.982543936016485e-12,0.0,3.7834167392156604e-12,0.0004072690801315098
79,MEG0633,grad,T/m,-0.00037789641893832193,-4.380798329618133e-12,-1.9912719680082423e-13,4.181671132817309e-12,0.00037232885995168387
80,MEG0641,mag,T,-2.628868569387245e-06,-4.185676571630373e-13,1.6489028918543894e-13,8.193778985676427e-13,5.354195958970312e-06
81,MEG0642,grad,T/m,-0.0003824137550033696,-4.579925526418957e-12,0.0,4.579925526418957e-12,0.0001895108301217631
82,MEG0643,grad,T/m,-0.0003848665771305178,-3.982543936016485e-12,1.9912719680082423e-13,4.181671132817309e-12,0.00039508127045765744
83,MEG0711,mag,T,-5.068956760628797e-06,-4.1095733612370937e-13,2.0547866806185468e-13,8.827972405620423e-13,5.405239987958824e-06
84,MEG0712,grad,T/m,-0.00032734926420172484,-4.181671132817309e-12,-1.9912719680082423e-13,3.7834167392156604e-12,0.00034828355996661145
85,MEG0713,grad,T/m,-6.443576177052363e-05,-4.380798329618133e-12,-1.9912719680082423e-13,3.982543936016485e-12,0.0004215921229706967
86,MEG0721,mag,T,-4.746160044500253e-06,-3.8051605196639756e-13,1.9025802598319878e-13,8.219146722474187e-13,4.7986555316748016e-06
87,MEG0722,grad,T/m,-0.0003951060183839302,-4.7790527232197816e-12,0.0,4.7790527232197816e-12,0.0004082371391891562
88,MEG0723,grad,T/m,-0.0003171198888281107,-4.7790527232197816e-12,-1.9912719680082423e-13,4.380798329618133e-12,0.00022130630895608521
89,MEG0731,mag,T,-5.270692510449995e-06,-4.4139862028102117e-13,1.8011093126409485e-13,8.650398248036105e-13,3.903271997176698e-06
90,MEG0732,grad,T/m,-0.000330903929989326,-3.982543936016485e-12,0.0,3.982543936016485e-12,0.000335923528167154
91,MEG0733,grad,T/m,-0.00038430981251008276,-3.982543936016485e-12,-1.9912719680082423e-13,3.385162345614012e-12,0.0002971285288398317
92,MEG0741,mag,T,-3.4920999079403537e-06,-4.61692809719229e-13,1.9533157334275075e-13,9.132385247193541e-13,5.197413561224073e-06
93,MEG0742,grad,T/m,-0.0004120054047382216,-3.7834167392156604e-12,0.0,3.7834167392156604e-12,0.0003036330258919097
94,MEG0743,grad,T/m,-0.0002553960182476987,-3.982543936016485e-12,-1.9912719680082423e-13,3.584289542414836e-12,0.0004041050067212318
95,MEG0811,mag,T,-4.243637388028352e-06,-5.758476253091483e-13,5.0735473595519675e-14,6.418037409833239e-13,4.125489513092307e-06
96,MEG0812,grad,T/m,-0.0003750589529606006,-4.181671132817309e-12,0.0,4.181671132817309e-12,0.0002192520894960059
97,MEG0813,grad,T/m,-0.0004275269457870439,-6.3720702976263754e-12,-1.9912719680082423e-13,5.973815904024727e-12,0.00042730187629904385
98,MEG0821,mag,T,-2.6014803177212804e-06,-5.048179622754208e-13,9.893417351126337e-14,6.900024408990676e-13,4.490270031489491e-06
99,MEG0822,grad,T/m,-0.00026161781342284255,-5.376434313622254e-12,-1.9912719680082423e-13,5.17730711682143e-12,0.0003352894910432372
100,MEG0823,grad,T/m,-0.00035076742462985047,-3.7834167392156604e-12,1.9912719680082423e-13,4.181671132817309e-12,0.00021539671097564717
101,MEG0911,mag,T,-4.982675453605273e-06,-6.16436004185564e-13,4.566192623596771e-14,6.570243830619798e-13,4.5749307384051066e-06
102,MEG0912,grad,T/m,-0.0003925655022323285,-3.982543936016485e-12,0.0,3.7834167392156604e-12,0.00024236672671011834
103,MEG0913,grad,T/m,-0.0003306733880877035,-4.978179920020606e-12,-1.9912719680082423e-13,4.579925526418957e-12,0.00039777265612642404
