onset	duration	trial_type	value	sample
30.368	0.0	item	162	30368
31.27	0.0	item	162	31270
32.19	0.0	item	162	32190
33.143	0.0	item	162	33143
33.878	0.0	item	162	33878
34.664	0.0	item	162	34664
35.55	0.0	item	162	35550
36.269	0.0	item	162	36269
37.155	0.0	item	162	37155
37.74	0.0	item	162	37740
38.526	0.0	item	162	38526
39.194	0.0	item	162	39194
39.896	0.0	item	162	39896
40.632	0.0	item	162	40632
41.25	0.0	item	162	41250
41.936	0.0	item	162	41936
42.705	0.0	item	162	42705
43.34	0.0	item	162	43340
44.243	0.0	item	162	44243
45.162	0.0	item	162	45162
46.249	0.0	yes_probe	167	46249
54.34	0.0	item_post_probe	163	54340
55.042	0.0	item	162	55042
56.045	0.0	item	162	56045
56.663	0.0	item	162	56663
57.282	0.0	item	162	57282
58.201	0.0	item	162	58201
58.87	0.0	item	162	58870
59.522	0.0	item	162	59522
60.258	0.0	item	162	60258
61.16	0.0	item	162	61160
61.879	0.0	item	162	61879
62.581	0.0	item	162	62581
63.317	0.0	item	162	63317
64.153	0.0	item	162	64153
64.972	0.0	item	162	64972
65.858	0.0	item	162	65858
66.677	0.0	item	162	66677
67.412	0.0	item	162	67412
68.282	0.0	item	162	68282
69.101	0.0	item	162	69101
69.886	0.0	no_probe	166	69886
74.551	0.0	item_post_probe	163	74551
75.32	0.0	item	162	75320
75.955	0.0	item	162	75955
76.707	0.0	item	162	76707
77.493	0.0	item	162	77493
78.178	0.0	item	162	78178
78.947	0.0	no_probe	166	78947
82.14	0.0	item_post_probe	163	82140
82.959	0.0	item	162	82959
83.528	0.0	item	162	83528
84.28	0.0	item	162	84280
85.183	0.0	item	162	85183
86.169	0.0	item	162	86169
86.888	0.0	item	162	86888
87.573	0.0	item	162	87573
88.325	0.0	item	162	88325
89.078	0.0	item	162	89078
89.73	0.0	item	162	89730
90.699	0.0	item	162	90699
91.435	0.0	no_probe	166	91435
103.722	0.0	item_post_probe	163	103722
104.457	0.0	item	162	104457
105.193	0.0	item	162	105193
105.995	0.0	item	162	105995
106.664	0.0	item	162	106664
107.383	0.0	item	162	107383
108.068	0.0	item	162	108068
108.871	0.0	item	162	108871
109.606	0.0	item	162	109606
110.609	0.0	item	162	110609
111.228	0.0	item	162	111228
112.063	0.0	item	162	112063
112.749	0.0	item	162	112749
113.702	0.0	item	162	113702
114.471	0.0	item	162	114471
115.139	0.0	item	162	115139
116.042	0.0	item	162	116042
116.711	0.0	item	162	116711
117.413	0.0	item	162	117413
118.282	0.0	yes_probe	167	118282
127.711	0.0	item_post_probe	163	127711
128.513	0.0	item	162	128513
129.315	0.0	item	162	129315
129.884	0.0	item	162	129884
130.536	0.0	item	162	130536
131.372	0.0	item	162	131372
132.224	0.0	item	162	132224
132.96	0.0	item	162	132960
133.762	0.0	item	162	133762
134.447	0.0	item	162	134447
135.35	0.0	item	162	135350
136.136	0.0	item	162	136136
136.922	0.0	item	162	136922
