onset	duration	trial_type	value	sample
53.261	0.0	item	162	53261
54.163	0.0	item	162	54163
55.083	0.0	item	162	55083
56.035	0.0	item	162	56035
56.771	0.0	item	162	56771
57.557	0.0	item	162	57557
58.443	0.0	item	162	58443
59.162	0.0	item	162	59162
60.047	0.0	item	162	60047
60.633	0.0	item	162	60633
61.402	0.0	item	162	61402
62.07	0.0	item	162	62070
62.772	0.0	item	162	62772
63.525	0.0	item	162	63525
64.143	0.0	item	162	64143
64.829	0.0	item	162	64829
65.598	0.0	item	162	65598
66.233	0.0	item	162	66233
67.135	0.0	item	162	67135
68.038	0.0	item	162	68038
69.125	0.0	yes_probe	167	69125
71.114	0.0	item_post_probe	163	71114
71.816	0.0	item	162	71816
72.819	0.0	item	162	72819
73.454	0.0	item	162	73454
74.073	0.0	item	162	74073
74.992	0.0	item	162	74992
75.661	0.0	item	162	75661
76.313	0.0	item	162	76313
77.065	0.0	item	162	77065
77.985	0.0	item	162	77985
78.704	0.0	item	162	78704
79.406	0.0	item	162	79406
80.141	0.0	item	162	80141
80.994	0.0	item	162	80994
81.813	0.0	item	162	81813
82.716	0.0	item	162	82716
83.535	0.0	item	162	83535
84.27	0.0	item	162	84270
85.14	0.0	item	162	85140
85.959	0.0	item	162	85959
86.744	0.0	no_probe	166	86744
88.918	0.0	item_post_probe	163	88918
89.687	0.0	item	162	89687
90.305	0.0	item	162	90305
91.074	0.0	item	162	91074
91.86	0.0	item	162	91860
92.545	0.0	item	162	92545
93.314	0.0	no_probe	166	93314
94.635	0.0	item_post_probe	163	94635
95.454	0.0	item	162	95454
96.022	0.0	item	162	96022
96.791	0.0	item	162	96791
97.677	0.0	item	162	97677
98.664	0.0	item	162	98664
99.382	0.0	item	162	99382
100.068	0.0	item	162	100068
100.82	0.0	item	162	100820
101.572	0.0	item	162	101572
102.241	0.0	item	162	102241
103.227	0.0	item	162	103227
103.963	0.0	no_probe	166	103963
106.086	0.0	item_post_probe	163	106086
106.821	0.0	item	162	106821
107.54	0.0	item	162	107540
108.343	0.0	item	162	108343
109.011	0.0	item	162	109011
109.73	0.0	item	162	109730
110.416	0.0	item	162	110416
111.218	0.0	item	162	111218
111.954	0.0	item	162	111954
112.957	0.0	item	162	112957
113.558	0.0	item	162	113558
114.378	0.0	item	162	114378
115.063	0.0	item	162	115063
116.016	0.0	item	162	116016
116.768	0.0	item	162	116768
117.437	0.0	item	162	117437
118.323	0.0	item	162	118323
118.991	0.0	item	162	118991
119.694	0.0	item	162	119694
120.563	0.0	yes_probe	167	120563
122.335	0.0	item_post_probe	163	122335
123.137	0.0	item	162	123137
123.94	0.0	item	162	123940
124.508	0.0	item	162	124508
125.16	0.0	item	162	125160
126.013	0.0	item	162	126013
126.865	0.0	item	162	126865
127.601	0.0	item	162	127601
128.403	0.0	item	162	128403
129.088	0.0	item	162	129088
129.974	0.0	item	162	129974
130.76	0.0	item	162	130760
131.546	0.0	item	162	131546
132.432	0.0	item	162	132432
133.335	0.0	item	162	133335
134.187	0.0	item	162	134187
134.99	0.0	item	162	134990
135.792	0.0	item	162	135792
136.561	0.0	item	162	136561
137.263	0.0	yes_probe	167	137263
138.734	0.0	item_post_probe	163	138734
139.503	0.0	item	162	139503
140.322	0.0	item	162	140322
140.924	0.0	item	162	140924
141.71	0.0	item	162	141710
142.395	0.0	item	162	142395
143.164	0.0	item	162	143164
143.85	0.0	item	162	143850
144.518	0.0	no_probe	166	144518
146.491	0.0	item_post_probe	163	146491
147.31	0.0	item	162	147310
148.263	0.0	item	162	148263
149.199	0.0	item	162	149199
149.884	0.0	item	162	149884
150.57	0.0	item	162	150570
151.372	0.0	item	162	151372
152.024	0.0	item	162	152024
152.643	0.0	item	162	152643
153.345	0.0	item	162	153345
154.147	0.0	item	162	154147
154.799	0.0	item	162	154799
155.468	0.0	item	162	155468
156.32	0.0	item	162	156320
157.19	0.0	item	162	157190
157.992	0.0	item	162	157992
158.727	0.0	yes_probe	167	158727
160.048	0.0	item_post_probe	163	160048
160.884	0.0	item	162	160884
161.636	0.0	item	162	161636
162.322	0.0	item	162	162322
163.007	0.0	item	162	163007
163.81	0.0	item	162	163810
164.712	0.0	item	162	164712
165.498	0.0	item	162	165498
166.217	0.0	item	162	166217
166.952	0.0	item	162	166952
167.721	0.0	item	162	167721
168.306	0.0	item	162	168306
168.925	0.0	yes_probe	167	168925
170.212	0.0	item_post_probe	163	170212
171.031	0.0	no_probe	166	171031
172.753	0.0	item_post_probe	163	172753
173.572	0.0	item	162	173572
174.442	0.0	item	162	174442
175.093	0.0	item	162	175093
175.996	0.0	item	162	175996
176.748	0.0	item	162	176748
177.584	0.0	item	162	177584
178.487	0.0	item	162	178487
179.373	0.0	item	162	179373
180.175	0.0	item	162	180175
180.961	0.0	item	162	180961
181.68	0.0	item	162	181680
182.516	0.0	yes_probe	167	182516
183.686	0.0	item_post_probe	163	183686
184.288	0.0	item	162	184288
184.973	0.0	item	162	184973
185.625	0.0	item	162	185625
186.428	0.0	item	162	186428
187.163	0.0	item	162	187163
187.815	0.0	no_probe	166	187815
189.804	0.0	item_post_probe	163	189804
190.64	0.0	item	162	190640
191.677	0.0	item	162	191677
192.563	0.0	item	162	192563
193.399	0.0	item	162	193399
194.034	0.0	item	162	194034
195.054	0.0	item	162	195054
195.889	0.0	item	162	195889
196.658	0.0	item	162	196658
197.411	0.0	item	162	197411
198.246	0.0	no_probe	166	198246
199.483	0.0	item_post_probe	163	199483
200.219	0.0	item	162	200219
200.955	0.0	item	162	200955
201.74	0.0	item	162	201740
202.409	0.0	item	162	202409
203.278	0.0	item	162	203278
204.248	0.0	item	162	204248
205.301	0.0	no_probe	166	205301
207.29	0.0	item_post_probe	163	207290
208.043	0.0	item	162	208043
208.745	0.0	item	162	208745
209.547	0.0	item	162	209547
210.383	0.0	item	162	210383
211.269	0.0	item	162	211269
212.088	0.0	item	162	212088
212.874	0.0	item	162	212874
213.776	0.0	item	162	213776
214.646	0.0	item	162	214646
215.515	0.0	item	162	215515
216.434	0.0	item	162	216434
217.22	0.0	item	162	217220
217.855	0.0	item	162	217855
