onset	duration	trial_type	value	sample
39.465	0.0	item	162	39465
40.367	0.0	item	162	40367
41.287	0.0	item	162	41287
42.223	0.0	item	162	42223
42.958	0.0	item	162	42958
43.744	0.0	item	162	43744
44.63	0.0	item	162	44630
45.349	0.0	item	162	45349
46.218	0.0	item	162	46218
46.803	0.0	item	162	46803
47.572	0.0	item	162	47572
48.241	0.0	item	162	48241
48.943	0.0	item	162	48943
49.679	0.0	item	162	49679
50.297	0.0	item	162	50297
50.982	0.0	item	162	50982
51.751	0.0	item	162	51751
52.387	0.0	item	162	52387
53.289	0.0	item	162	53289
54.209	0.0	item	162	54209
55.279	0.0	yes_probe	167	55279
57.602	0.0	item_post_probe	163	57602
58.305	0.0	item	162	58305
59.308	0.0	item	162	59308
59.926	0.0	item	162	59926
60.528	0.0	item	162	60528
61.447	0.0	item	162	61447
62.099	0.0	item	162	62099
62.751	0.0	item	162	62751
63.503	0.0	item	162	63503
64.406	0.0	item	162	64406
65.108	0.0	item	162	65108
65.81	0.0	item	162	65810
66.563	0.0	item	162	66563
67.398	0.0	item	162	67398
68.218	0.0	item	162	68218
69.12	0.0	item	162	69120
69.939	0.0	item	162	69939
70.675	0.0	item	162	70675
71.544	0.0	item	162	71544
72.363	0.0	item	162	72363
73.149	0.0	no_probe	166	73149
77.328	0.0	item_post_probe	163	77328
78.097	0.0	item	162	78097
78.716	0.0	item	162	78716
79.468	0.0	item	162	79468
80.254	0.0	item	162	80254
80.939	0.0	item	162	80939
81.708	0.0	no_probe	166	81708
84.182	0.0	item_post_probe	163	84182
84.985	0.0	item	162	84985
85.536	0.0	item	162	85536
86.289	0.0	item	162	86289
87.191	0.0	item	162	87191
88.178	0.0	item	162	88178
88.896	0.0	item	162	88896
89.582	0.0	item	162	89582
90.334	0.0	item	162	90334
91.103	0.0	item	162	91103
91.772	0.0	item	162	91772
92.758	0.0	item	162	92758
93.494	0.0	no_probe	166	93494
97.121	0.0	item_post_probe	163	97121
97.857	0.0	item	162	97857
98.576	0.0	item	162	98576
99.378	0.0	item	162	99378
100.047	0.0	item	162	100047
100.766	0.0	item	162	100766
101.451	0.0	item	162	101451
102.253	0.0	item	162	102253
102.972	0.0	item	162	102972
103.975	0.0	item	162	103975
104.594	0.0	item	162	104594
105.43	0.0	item	162	105430
106.115	0.0	item	162	106115
107.068	0.0	item	162	107068
107.837	0.0	item	162	107837
108.505	0.0	item	162	108505
109.391	0.0	item	162	109391
110.043	0.0	item	162	110043
110.746	0.0	item	162	110746
111.615	0.0	yes_probe	167	111615
113.571	0.0	item_post_probe	163	113571
114.373	0.0	item	162	114373
115.176	0.0	item	162	115176
115.744	0.0	item	162	115744
116.396	0.0	item	162	116396
117.248	0.0	item	162	117248
118.101	0.0	item	162	118101
118.837	0.0	item	162	118837
119.639	0.0	item	162	119639
120.324	0.0	item	162	120324
121.21	0.0	item	162	121210
121.996	0.0	item	162	121996
122.782	0.0	item	162	122782
