,delta (0.5-4 Hz),theta (4-8 Hz),alpha (8-12 Hz),beta (12-30 Hz),gamma (30-100 Hz)
MEG1511,1.6248865786300258e-27,9.060858444847019e-28,1.0107629844838728e-27,1.4290976218026294e-27,1.4702368353961108e-27
MEG1521,4.0489736497726304e-27,2.002638449088956e-27,1.890555714533532e-27,2.672297302479419e-27,2.768050022591329e-27
MEG1531,7.775358115339397e-27,2.757726568998634e-27,2.1660810749104785e-27,4.04250035826126e-27,5.683186894143058e-27
MEG1541,7.692463552350135e-27,2.4534950905552773e-27,1.833142887205701e-27,3.309614255632261e-27,2.3559887212649096e-27
MEG1611,7.520892141020669e-27,3.72111807244199e-27,3.965529700921485e-27,4.020095018833707e-27,1.680048822789757e-27
MEG1621,4.6643295641985486e-27,2.1842545388073947e-27,1.889000603154183e-27,2.2362820917738558e-27,9.83787373032371e-28
MEG1631,2.986240307825547e-27,1.5200537051721193e-27,1.6379137483712475e-27,1.755158041558233e-27,9.70004614698031e-28
MEG1641,5.025664658674054e-27,2.843464661528352e-27,3.391615317996997e-27,3.581294880828633e-27,2.1211526181214276e-27
MEG1711,6.3098318702439616e-27,2.8141000776157757e-27,2.400557540605297e-27,5.3776772834701755e-27,1.1904973021588144e-26
MEG1721,5.012996841989571e-27,2.7164366611784287e-27,2.5698597817880248e-27,3.967356416755738e-27,6.367436021135056e-27
MEG1731,3.5323941263987646e-27,2.4894251022593623e-27,2.4613104398145375e-27,4.8813221085760025e-27,1.1248938044329973e-26
MEG1741,4.84338500577217e-27,2.7013472091226792e-27,3.1658869531341423e-27,7.445511082982621e-27,1.605692766434815e-26
MEG1811,1.8103156933943895e-27,9.671755092694313e-28,7.607080019339164e-28,1.1368002116384972e-27,8.815089776837854e-28
MEG1821,2.1309925164099764e-27,1.1454178532756259e-27,1.0851897099350252e-27,1.183370037668937e-27,1.0177795434290736e-27
MEG1831,3.1102000268291544e-27,1.4486573602042274e-27,1.2995001501003121e-27,1.6044339298985859e-27,7.474677365118742e-28
MEG1841,9.514011931083702e-28,6.645596871552956e-28,6.3293971513577865e-28,8.586326030899928e-28,8.998704244009941e-28
MEG1911,1.896556720332861e-27,1.2594203571852173e-27,1.8998625851024508e-27,1.480366001072661e-27,1.3209020130025158e-27
MEG1921,3.765252973187746e-27,2.917511024203259e-27,2.708354134002228e-27,2.936111097314999e-27,1.8796158008798386e-27
MEG1931,4.718185192822208e-27,3.090803022699042e-27,2.3059431912652194e-27,3.405245330512176e-27,5.62324867251262e-27
MEG1941,3.531166694434054e-27,2.0459654460207333e-27,2.8138640077801412e-27,2.7407269768700332e-27,2.3201669035758966e-27
MEG2011,3.034722060608015e-27,1.381061829804126e-27,1.1503576736900681e-27,1.5747267753903113e-27,1.3537017553022521e-27
MEG2021,1.410438981827237e-27,9.275601009031723e-28,9.338527771268914e-28,1.0661866296264554e-27,8.245486298336759e-28
MEG2031,2.844899555712632e-27,2.0928943568589108e-27,1.974090118941753e-27,2.3335485767935485e-27,1.7251469236555515e-27
MEG2041,2.500680628046048e-27,2.009638611975153e-27,2.4273128141383095e-27,2.156475504377622e-27,1.4808789809483802e-27
MEG2111,4.309627995389312e-27,3.611231870906053e-27,3.4565516684446014e-27,4.470050517147266e-27,4.823084418596591e-27
MEG2121,3.0714291823802583e-27,2.0995310248858013e-27,3.0947629832377335e-27,6.537068908375378e-27,1.918725020691612e-26
