,delta (0.5-4 Hz),theta (4-8 Hz),alpha (8-12 Hz),beta (12-30 Hz),gamma (30-100 Hz)
MEG2312,1.6639876992339576e-24,1.09349906703946e-24,1.3772626229066517e-24,3.6975652390944177e-25,1.1902563582637166e-25
MEG2313,1.3080490479206413e-24,6.3009636064890085e-25,8.435217996174992e-25,2.928960974982821e-25,1.021273223205542e-25
MEG2322,1.884813510654161e-24,9.217517791734178e-25,9.355550081105908e-25,3.911005145335627e-25,1.4304671521046279e-25
MEG2323,2.933810969498643e-24,1.6936390019947315e-24,1.606654539566453e-24,4.587452455486133e-25,1.2028967419061254e-25
MEG2332,3.347674109522928e-24,1.68241993397332e-24,1.2186320863499197e-24,5.544823326217613e-25,1.747189513792576e-25
MEG2333,2.6913905671992415e-24,1.4374210356643347e-24,1.2843267062741006e-24,6.1982292027068305e-25,3.167071465351117e-25
MEG2342,2.389007837579448e-24,1.5577950948252264e-24,1.4538180943455798e-24,4.320953198121776e-25,1.0220248681690111e-25
MEG2343,2.1182714991580512e-24,1.3271041712024628e-24,1.4296640464590219e-24,4.591098310969365e-25,1.446119149097773e-25
MEG2412,1.6783109505606265e-24,1.1314558949106163e-24,9.963595194886679e-25,3.107896661928315e-25,9.045916927724407e-26
MEG2413,1.3038828318792913e-24,6.925372505030737e-25,6.833525736145875e-25,2.162122742694399e-25,6.570201715497126e-26
MEG2422,2.1073876956306714e-24,1.2418306740876246e-24,1.0150298285209468e-24,3.972852783892724e-25,1.317295458693858e-25
MEG2423,1.967680199516798e-24,1.2028180857583392e-24,9.888924298859072e-25,3.5036882184007305e-25,9.943152897478108e-26
MEG2432,1.973207853297727e-24,1.163630656202986e-24,1.1830308199339965e-24,3.847654876007748e-25,1.0454048143192204e-25
MEG2433,2.6189237989999645e-24,1.507383869880868e-24,1.317397165033282e-24,3.8536199134189195e-25,1.0943676583507089e-25
MEG2442,1.7289358002615533e-24,1.1243009363737005e-24,1.3725096391279374e-24,3.30937646366622e-25,8.619787383176326e-26
MEG2443,8.846399153193937e-25,6.298538091445963e-25,5.536992353377724e-25,2.2894894088337426e-25,7.99953610236082e-26
MEG2512,2.8208030789153366e-24,1.4008895243079462e-24,1.0558716160141377e-24,4.578118998212566e-25,1.8095922358651232e-25
MEG2513,2.5653646315469372e-24,1.4566921447616839e-24,1.1677696079417196e-24,6.635756357530508e-25,3.1483852256543757e-25
MEG2522,2.9565933014525267e-24,1.144076382346937e-24,1.080056213690965e-24,4.289652887303893e-25,1.5173788250553601e-25
MEG2523,1.527996813632056e-24,9.824691195696305e-25,1.2104313222879895e-24,3.6831123158262773e-25,1.0927679662422366e-25
MEG2532,9.396060257755694e-25,5.492359803931927e-25,5.490158639953294e-25,3.803619357021827e-25,1.6866622107676625e-25
MEG2533,4.5339314612002026e-24,1.9565974962344342e-24,1.755230797004887e-24,8.840415308328346e-25,2.376771471903755e-25
MEG2542,1.2073403488399395e-24,6.458297953332028e-25,6.855784730169956e-25,6.378320922740816e-25,3.19881320745887e-25
MEG2543,4.3352823258519955e-24,1.9580589446769814e-24,1.750839475572929e-24,8.36906671670247e-25,3.2693624737466645e-25
MEG2612,3.0151512941887744e-24,1.3295925389265301e-24,1.2418802766775005e-24,4.807253062888469e-25,1.3853146916246013e-25
MEG2613,1.9232317943953882e-24,9.898440069363836e-25,1.003665971779943e-24,3.8434535403495856e-25,1.5745843115287353e-25
MEG2622,1.6146714366104062e-24,1.0264298527748714e-24,7.678078421860677e-25,4.72776928656444e-25,1.9682580357166729e-25
MEG2623,3.360914923262303e-24,1.168421593335002e-24,8.299894049908678e-25,5.231312150964113e-25,1.2589256646289592e-25
MEG2632,6.164014008056835e-25,4.0923502272942745e-25,4.195827551340638e-25,2.9524032677165417e-25,1.2387027624014302e-25
MEG2633,3.8986013112222934e-24,1.4678325982442984e-24,1.2436003955404831e-24,7.287677873302297e-25,1.6194297767679876e-25
MEG2642,3.015409462458003e-24,1.2560027997839644e-24,1.1804864918717306e-24,4.106898409152711e-25,1.107450338876036e-25
MEG2643,1.3570996266585035e-24,9.403429803807993e-25,9.718785460163987e-25,3.7633451535723986e-25,1.238814862537931e-25
