onset	duration	trial_type	value	sample
33.729	0.0	item	162	33729
34.631	0.0	item	162	34631
35.551	0.0	item	162	35551
36.503	0.0	item	162	36503
37.239	0.0	item	162	37239
38.041	0.0	item	162	38041
38.927	0.0	item	162	38927
39.646	0.0	item	162	39646
40.515	0.0	item	162	40515
41.101	0.0	item	162	41101
41.886	0.0	item	162	41886
42.555	0.0	item	162	42555
43.257	0.0	item	162	43257
43.993	0.0	item	162	43993
44.611	0.0	item	162	44611
45.296	0.0	item	162	45296
46.065	0.0	item	162	46065
46.701	0.0	item	162	46701
47.603	0.0	item	162	47603
48.523	0.0	item	162	48523
49.593	0.0	yes_probe	167	49593
51.498	0.0	item_post_probe	163	51498
52.201	0.0	item	162	52201
53.204	0.0	item	162	53204
53.822	0.0	item	162	53822
54.424	0.0	item	162	54424
55.343	0.0	item	162	55343
56.012	0.0	item	162	56012
56.664	0.0	item	162	56664
57.416	0.0	item	162	57416
58.319	0.0	item	162	58319
59.021	0.0	item	162	59021
59.723	0.0	item	162	59723
60.475	0.0	item	162	60475
61.311	0.0	item	162	61311
62.13	0.0	item	162	62130
63.033	0.0	item	162	63033
63.852	0.0	item	162	63852
64.588	0.0	item	162	64588
65.457	0.0	item	162	65457
66.276	0.0	item	162	66276
67.062	0.0	no_probe	166	67062
68.784	0.0	item_post_probe	163	68784
69.553	0.0	item	162	69553
70.171	0.0	item	162	70171
70.94	0.0	item	162	70940
71.709	0.0	item	162	71709
72.395	0.0	item	162	72395
73.163	0.0	no_probe	166	73163
74.969	0.0	item_post_probe	163	74969
75.771	0.0	item	162	75771
76.34	0.0	item	162	76340
77.109	0.0	item	162	77109
77.995	0.0	item	162	77995
78.981	0.0	item	162	78981
79.7	0.0	item	162	79700
80.385	0.0	item	162	80385
81.138	0.0	item	162	81138
81.907	0.0	item	162	81907
82.559	0.0	item	162	82559
83.528	0.0	item	162	83528
84.264	0.0	no_probe	166	84264
85.835	0.0	item_post_probe	163	85835
86.571	0.0	item	162	86571
87.289	0.0	item	162	87289
88.092	0.0	item	162	88092
88.761	0.0	item	162	88761
89.463	0.0	item	162	89463
90.148	0.0	item	162	90148
90.95	0.0	item	162	90950
91.686	0.0	item	162	91686
92.689	0.0	item	162	92689
93.291	0.0	item	162	93291
94.127	0.0	item	162	94127
94.812	0.0	item	162	94812
95.765	0.0	item	162	95765
96.534	0.0	item	162	96534
97.203	0.0	item	162	97203
98.089	0.0	item	162	98089
98.741	0.0	item	162	98741
99.443	0.0	item	162	99443
100.312	0.0	yes_probe	167	100312
104.742	0.0	item_post_probe	163	104742
105.544	0.0	item	162	105544
106.347	0.0	item	162	106347
106.915	0.0	item	162	106915
107.567	0.0	item	162	107567
108.403	0.0	item	162	108403
109.255	0.0	item	162	109255
109.991	0.0	item	162	109991
110.793	0.0	item	162	110793
111.479	0.0	item	162	111479
112.382	0.0	item	162	112382
113.167	0.0	item	162	113167
113.936	0.0	item	162	113936
114.822	0.0	item	162	114822
115.725	0.0	item	162	115725
116.577	0.0	item	162	116577
117.363	0.0	item	162	117363
118.149	0.0	item	162	118149
118.918	0.0	item	162	118918
119.62	0.0	yes_probe	167	119620
121.074	0.0	item_post_probe	163	121074
121.843	0.0	item	162	121843
122.646	0.0	item	162	122646
123.248	0.0	item	162	123248
124.033	0.0	item	162	124033
124.719	0.0	item	162	124719
125.488	0.0	item	162	125488
126.173	0.0	item	162	126173
126.842	0.0	no_probe	166	126842
128.597	0.0	item_post_probe	163	128597
129.399	0.0	item	162	129399
130.352	0.0	item	162	130352
131.288	0.0	item	162	131288
131.974	0.0	item	162	131974
132.659	0.0	item	162	132659
133.462	0.0	item	162	133462
134.114	0.0	item	162	134114
134.732	0.0	item	162	134732
135.434	0.0	item	162	135434
136.237	0.0	item	162	136237
136.889	0.0	item	162	136889
137.541	0.0	item	162	137541
138.393	0.0	item	162	138393
139.262	0.0	item	162	139262
140.065	0.0	item	162	140065
140.8	0.0	yes_probe	167	140800
143.024	0.0	item_post_probe	163	143024
143.86	0.0	item	162	143860
144.612	0.0	item	162	144612
145.297	0.0	item	162	145297
145.983	0.0	item	162	145983
146.768	0.0	item	162	146768
147.654	0.0	item	162	147654
148.44	0.0	item	162	148440
149.159	0.0	item	162	149159
149.894	0.0	item	162	149894
150.663	0.0	item	162	150663
151.248	0.0	item	162	151248
151.884	0.0	yes_probe	167	151884
154.023	0.0	item_post_probe	163	154023
154.842	0.0	no_probe	166	154842
158.721	0.0	item_post_probe	163	158721
159.54	0.0	item	162	159540
160.409	0.0	item	162	160409
161.061	0.0	item	162	161061
161.981	0.0	item	162	161981
162.733	0.0	item	162	162733
163.569	0.0	item	162	163569
164.488	0.0	item	162	164488
165.391	0.0	item	162	165391
166.193	0.0	item	162	166193
166.979	0.0	item	162	166979
167.698	0.0	item	162	167698
168.534	0.0	yes_probe	167	168534
170.155	0.0	item_post_probe	163	170155
170.757	0.0	item	162	170757
171.442	0.0	item	162	171442
172.111	0.0	item	162	172111
172.914	0.0	item	162	172914
173.666	0.0	item	162	173666
174.318	0.0	no_probe	166	174318
175.906	0.0	item_post_probe	163	175906
176.742	0.0	item	162	176742
