onset	duration	trial_type	value	sample
51.862	0.0	item	162	51862
52.765	0.0	item	162	52765
53.684	0.0	item	162	53684
54.637	0.0	item	162	54637
55.356	0.0	item	162	55356
56.142	0.0	item	162	56142
57.028	0.0	item	162	57028
57.73	0.0	item	162	57730
58.599	0.0	item	162	58599
59.184	0.0	item	162	59184
59.953	0.0	item	162	59953
60.622	0.0	item	162	60622
61.324	0.0	item	162	61324
62.06	0.0	item	162	62060
62.678	0.0	item	162	62678
63.364	0.0	item	162	63364
64.116	0.0	item	162	64116
64.734	0.0	item	162	64734
65.62	0.0	item	162	65620
66.54	0.0	item	162	66540
67.626	0.0	yes_probe	167	67626
69.198	0.0	item_post_probe	163	69198
69.9	0.0	item	162	69900
70.903	0.0	item	162	70903
71.521	0.0	item	162	71521
72.123	0.0	item	162	72123
73.026	0.0	item	162	73026
73.678	0.0	item	162	73678
74.33	0.0	item	162	74330
75.082	0.0	item	162	75082
75.985	0.0	item	162	75985
76.687	0.0	item	162	76687
77.389	0.0	item	162	77389
78.141	0.0	item	162	78141
78.977	0.0	item	162	78977
79.796	0.0	item	162	79796
80.699	0.0	item	162	80699
81.518	0.0	item	162	81518
82.254	0.0	item	162	82254
83.123	0.0	item	162	83123
83.942	0.0	item	162	83942
84.728	0.0	no_probe	166	84728
86.951	0.0	item_post_probe	163	86951
87.72	0.0	item	162	87720
88.339	0.0	item	162	88339
89.108	0.0	item	162	89108
89.893	0.0	item	162	89893
90.579	0.0	item	162	90579
91.348	0.0	no_probe	166	91348
93.554	0.0	item_post_probe	163	93554
94.373	0.0	item	162	94373
94.925	0.0	item	162	94925
95.694	0.0	item	162	95694
96.58	0.0	item	162	96580
97.566	0.0	item	162	97566
98.285	0.0	item	162	98285
98.971	0.0	item	162	98971
99.723	0.0	item	162	99723
100.475	0.0	item	162	100475
101.127	0.0	item	162	101127
102.097	0.0	item	162	102097
102.832	0.0	no_probe	166	102832
104.905	0.0	item_post_probe	163	104905
105.624	0.0	item	162	105624
106.343	0.0	item	162	106343
107.145	0.0	item	162	107145
107.814	0.0	item	162	107814
108.516	0.0	item	162	108516
109.185	0.0	item	162	109185
109.987	0.0	item	162	109987
110.723	0.0	item	162	110723
111.726	0.0	item	162	111726
112.327	0.0	item	162	112327
113.163	0.0	item	162	113163
113.832	0.0	item	162	113832
114.785	0.0	item	162	114785
115.537	0.0	item	162	115537
116.206	0.0	item	162	116206
117.108	0.0	item	162	117108
117.76	0.0	item	162	117760
118.463	0.0	item	162	118463
119.332	0.0	yes_probe	167	119332
122.675	0.0	item_post_probe	163	122675
123.478	0.0	item	162	123478
124.297	0.0	item	162	124297
124.882	0.0	item	162	124882
125.534	0.0	item	162	125534
126.37	0.0	item	162	126370
127.222	0.0	item	162	127222
127.958	0.0	item	162	127958
128.76	0.0	item	162	128760
129.446	0.0	item	162	129446
130.348	0.0	item	162	130348
131.151	0.0	item	162	131151
131.92	0.0	item	162	131920
132.806	0.0	item	162	132806
133.708	0.0	item	162	133708
134.561	0.0	item	162	134561
135.347	0.0	item	162	135347
136.132	0.0	item	162	136132
136.885	0.0	item	162	136885
137.587	0.0	yes_probe	167	137587
140.612	0.0	item_post_probe	163	140612
141.381	0.0	item	162	141381
142.184	0.0	item	162	142184
142.786	0.0	item	162	142786
143.571	0.0	item	162	143571
144.257	0.0	item	162	144257
145.026	0.0	item	162	145026
145.711	0.0	item	162	145711
146.38	0.0	no_probe	166	146380
147.918	0.0	item_post_probe	163	147918
148.737	0.0	item	162	148737
149.673	0.0	item	162	149673
150.609	0.0	item	162	150609
151.295	0.0	item	162	151295
151.98	0.0	item	162	151980
152.782	0.0	item	162	152782
153.418	0.0	item	162	153418
154.036	0.0	item	162	154036
154.755	0.0	item	162	154755
155.557	0.0	item	162	155557
156.226	0.0	item	162	156226
156.895	0.0	item	162	156895
157.747	0.0	item	162	157747
158.617	0.0	item	162	158617
159.419	0.0	item	162	159419
160.154	0.0	yes_probe	167	160154
161.459	0.0	item_post_probe	163	161459
162.294	0.0	item	162	162294
163.047	0.0	item	162	163047
163.749	0.0	item	162	163749
164.434	0.0	item	162	164434
165.22	0.0	item	162	165220
166.106	0.0	item	162	166106
166.892	0.0	item	162	166892
167.61	0.0	item	162	167610
