onset	duration	trial_type	value	sample
24.691	0.0	item	162	24691
25.6	0.0	item	162	25600
26.52	0.0	item	162	26520
27.456	0.0	item	162	27456
28.191	0.0	item	162	28191
28.994	0.0	item	162	28994
29.88	0.0	item	162	29880
30.599	0.0	item	162	30599
31.468	0.0	item	162	31468
32.053	0.0	item	162	32053
32.822	0.0	item	162	32822
33.491	0.0	item	162	33491
34.193	0.0	item	162	34193
34.928	0.0	item	162	34928
35.547	0.0	item	162	35547
36.232	0.0	item	162	36232
37.001	0.0	item	162	37001
37.637	0.0	item	162	37637
38.539	0.0	item	162	38539
39.459	0.0	item	162	39459
40.545	0.0	yes_probe	167	40545
43.905	0.0	item_post_probe	163	43905
44.607	0.0	item	162	44607
45.61	0.0	item	162	45610
46.229	0.0	item	162	46229
46.848	0.0	item	162	46848
47.75	0.0	item	162	47750
48.419	0.0	item	162	48419
49.071	0.0	item	162	49071
49.806	0.0	item	162	49806
50.709	0.0	item	162	50709
51.428	0.0	item	162	51428
52.13	0.0	item	162	52130
52.866	0.0	item	162	52866
53.701	0.0	item	162	53701
54.521	0.0	item	162	54521
55.407	0.0	item	162	55407
56.226	0.0	item	162	56226
56.961	0.0	item	162	56961
57.831	0.0	item	162	57831
58.65	0.0	item	162	58650
59.435	0.0	no_probe	166	59435
61.458	0.0	item_post_probe	163	61458
62.227	0.0	item	162	62227
62.862	0.0	item	162	62862
63.615	0.0	item	162	63615
64.4	0.0	item	162	64400
65.086	0.0	item	162	65086
65.855	0.0	no_probe	166	65855
68.63	0.0	item_post_probe	163	68630
69.449	0.0	item	162	69449
70.017	0.0	item	162	70017
70.786	0.0	item	162	70786
71.672	0.0	item	162	71672
72.658	0.0	item	162	72658
73.377	0.0	item	162	73377
74.063	0.0	item	162	74063
74.815	0.0	item	162	74815
75.567	0.0	item	162	75567
76.236	0.0	item	162	76236
77.206	0.0	item	162	77206
77.941	0.0	no_probe	166	77941
79.329	0.0	item_post_probe	163	79329
80.064	0.0	item	162	80064
80.8	0.0	item	162	80800
81.602	0.0	item	162	81602
82.271	0.0	item	162	82271
82.99	0.0	item	162	82990
83.675	0.0	item	162	83675
84.477	0.0	item	162	84477
85.213	0.0	item	162	85213
86.216	0.0	item	162	86216
86.818	0.0	item	162	86818
87.654	0.0	item	162	87654
88.339	0.0	item	162	88339
89.292	0.0	item	162	89292
90.044	0.0	item	162	90044
90.713	0.0	item	162	90713
91.599	0.0	item	162	91599
92.267	0.0	item	162	92267
92.97	0.0	item	162	92970
93.839	0.0	yes_probe	167	93839
95.862	0.0	item_post_probe	163	95862
96.681	0.0	item	162	96681
97.5	0.0	item	162	97500
98.068	0.0	item	162	98068
98.737	0.0	item	162	98737
99.573	0.0	item	162	99573
100.425	0.0	item	162	100425
101.161	0.0	item	162	101161
101.963	0.0	item	162	101963
102.649	0.0	item	162	102649
103.535	0.0	item	162	103535
104.32	0.0	item	162	104320
105.089	0.0	item	162	105089
105.975	0.0	item	162	105975
106.878	0.0	item	162	106878
107.731	0.0	item	162	107731
108.516	0.0	item	162	108516
109.319	0.0	item	162	109319
110.088	0.0	item	162	110088
110.79	0.0	yes_probe	167	110790
