,delta (0.5-4 Hz),theta (4-8 Hz),alpha (8-12 Hz),beta (12-30 Hz),gamma (30-100 Hz)
MEG2233,5.769471441140867e-25,3.0246070927076574e-25,4.300409430262063e-25,1.1280107528339841e-25,4.224421564958644e-26
MEG2242,2.5550279456194057e-25,1.4167775398967254e-25,1.4224780413430352e-25,6.520876310667427e-26,3.0517971607536374e-26
MEG2243,5.582698751529775e-25,1.9470546935235445e-25,3.3886016975403693e-25,9.209994782744162e-26,3.484572384844677e-26
MEG2312,9.95860549126799e-25,4.95164011751774e-25,7.678038450495307e-25,1.7857721410704083e-25,5.897175195962574e-26
MEG2313,7.460778292631815e-25,3.346396576077173e-25,7.160551463010761e-25,1.6365980581001285e-25,5.150480556176845e-26
MEG2322,9.164225163628537e-25,4.714371037590921e-25,1.011958545902375e-24,2.4878191413871564e-25,7.579865719831178e-26
MEG2323,1.6076856144621664e-24,7.699705878672293e-25,1.1542373320122158e-24,2.368097236176646e-25,5.724878245488661e-26
MEG2332,1.8061987411108136e-24,7.619401881327458e-25,8.327148169551806e-25,3.162577848416374e-25,8.8483029775754e-26
MEG2333,1.5786128003373168e-24,6.861274167649167e-25,1.0833405335829716e-24,4.0874427074663553e-25,2.319783992685206e-25
MEG2342,1.4249833184268735e-24,6.085284574054325e-25,1.1975267676348568e-24,2.444112406263037e-25,5.426704294919687e-26
MEG2343,1.0920698440574584e-24,5.374678084445901e-25,1.2244533076017302e-24,2.538274187752189e-25,7.23143833551186e-26
MEG2412,1.1215659509063824e-24,5.249847979450065e-25,5.734518474967103e-25,1.7293907380095808e-25,4.7127133519409254e-26
MEG2413,8.89447587205161e-25,3.7407043095589233e-25,4.262741915890287e-25,1.1818092964483916e-25,3.408880617096052e-26
MEG2422,1.4151624674491021e-24,5.906788834810095e-25,6.405537282629624e-25,2.1343426850617326e-25,6.962186827908849e-26
MEG2423,1.228087926259772e-24,5.687762960512471e-25,7.599486089904438e-25,2.0084204203041736e-25,5.273771464237707e-26
MEG2432,1.4455458318877847e-24,6.018979350046001e-25,7.955381880589495e-25,2.1373628145388396e-25,5.472875288434041e-26
MEG2433,1.2982677559214249e-24,6.019331092030125e-25,1.0380578826893525e-24,2.1901876395285145e-25,5.469889501151675e-26
MEG2442,1.0264789841614022e-24,4.981200923583428e-25,7.244434075952327e-25,1.661812972827668e-25,4.2802031116860336e-26
MEG2443,6.7630696071845705e-25,3.281161003754937e-25,4.0196621947066116e-25,1.2040839427927807e-25,3.994242165531126e-26
MEG2512,1.6976077864730583e-24,6.4155775917803465e-25,9.825688537907e-25,2.761604389307104e-25,9.912250040511251e-26
MEG2513,1.3548801439768001e-24,6.216142960485652e-25,1.3668750611123983e-24,4.319968648995078e-25,1.7531904844351995e-25
MEG2522,1.775030084998374e-24,6.252611464899244e-25,1.082353017425813e-24,2.59378300283202e-25,8.414685314083428e-26
MEG2523,9.673941280355262e-25,4.914046653356074e-25,9.630015231896207e-25,2.2507493734145306e-25,5.11732406155947e-26
MEG2532,6.741383276791686e-25,2.867438293964386e-25,4.831607945417721e-25,2.0047217565798243e-25,7.806902805299023e-26
MEG2533,2.5977572940664563e-24,9.963171062535035e-25,1.0767096846559493e-24,4.111763490834342e-25,1.197119891296806e-25
MEG2542,6.993715627522139e-25,3.1769262664671937e-25,5.413980345129068e-25,3.3355601937361497e-25,1.783430933536205e-25
MEG2543,2.4039917857640943e-24,1.0254785686436528e-24,1.0919130834726631e-24,4.256247548910661e-25,1.6671792782848626e-25
MEG2612,1.950399958478209e-24,6.675863337027641e-25,7.487599267499381e-25,2.515712345006391e-25,7.39811210317382e-26
MEG2613,1.7742785785633213e-24,5.135860232740598e-25,4.767788801672371e-25,1.9434935852431126e-25,9.135223091257029e-26
MEG2622,1.479501006477771e-24,5.325922349923527e-25,4.1069550583735066e-25,2.280990381834553e-25,9.679672667506554e-26
MEG2623,2.21732742122961e-24,6.4044797877754635e-25,6.199206036296863e-25,2.706700839971789e-25,6.565647015170346e-26
MEG2632,6.147459047001585e-25,1.9356041978364415e-25,2.6037544692170976e-25,1.4599197728227061e-25,6.102682963132286e-26
MEG2633,2.408327767390596e-24,7.87492420104089e-25,8.352154067007624e-25,3.3759768079002678e-25,7.556417647028444e-26
MEG2642,1.7301654324506364e-24,6.047009287793346e-25,8.845002641056117e-25,2.1366988037383985e-25,5.606476819440324e-26
MEG2643,1.2109701788982295e-24,4.426197983618451e-25,4.953679076257535e-25,1.8339396517634127e-25,6.290873891751813e-26
