Subject	Trial	Event_Type	Code	Time	TTime	Uncertainty	Duration	ReqTime	ReqDur	Stim_Type	Pair_Index
010	1.0	Sound	dialogue	2707.0	2678.0	n/a	n/a	2500.0	n/a	other	0.0
010	2.0	Sound	phantom	11731.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
010	3.0	Sound	observe	20926.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
010	4.0	Sound	sect	30454.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
010	5.0	Sound	fest	37810.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
010	6.0	Sound	precinct	45666.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
010	7.0	Sound	cycle	54526.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
010	8.0	Sound	reside	61715.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
010	9.0	Sound	wide	70574.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
010	10.0	Sound	remedy	76425.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
010	11.0	Sound	male	84115.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
010	12.0	Sound	shear	90802.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
010	13.0	Sound	equity	97823.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
010	14.0	Sound	droop	105345.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
010	15.0	Sound	trim	111531.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
010	16.0	Sound	message	118384.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
010	17.0	Sound	run	126074.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
010	18.0	Sound	violin	132427.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
010	19.0	Sound	staunch	141454.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
010	20.0	Sound	organize	150481.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
010	21.0	Picture	probe_coordinate	161346.0	2675.0	2	17218	2500.0	next	other	0.0
010	21.0	Response	2	178526.0	19855.0	n/a	n/a	n/a	n/a	n/a	n/a
010	22.0	Sound	commute	181239.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
010	23.0	Sound	deny	188260.0	2675.0	n/a	n/a	2500.0	n/a	other	0.0
010	24.0	Sound	bore	198291.0	2676.0	n/a	n/a	2500.0	n/a	other	0.0
